cluster_id,top_keywords,cluster_size
16,"dynamic, minimum description, discovery system, identify interesting, description length, description length principle, component discovering, substructure, interesting repetitive, essential component",264
1,"progress toward solving, shallow point, meaningful progress, search tree, exist backtracking, search problem, solving search, search, return shallow, erase meaningful progress",404
2,"tree, occam razor, decision tree induction, tree induction, training datum, decision tree consistent, decision forest, investigation occam, consistent decision tree, empirical investigation",398
3,"effective decentralization, constitute well - understand, price system constitute, condition provide effective, class mechanism, flow problem market, market - orient programming approach, provide effective decentralization, minimal communication overhead, market - orient programming",15
4,"procedure propositional, gsat perform greedy, describe extensive, propositional satisfiability, approximation procedure, gsat, gsat search, empirical analysis, number satisfied, extensive study",124
5,"program, logic program, practical application, causal, type negation, semantics extend, well - found, semantics, describe extension, extend logic program",559
6,"real logic programmers, effective learning, evaluation method, learning system, effective learning procedure, cut predicate, learning procedure, extensional evaluation method, logic programmers, procedural meaning",299
7,"learning, first - order, problem involve find, multiclass learning, solving multiclass learning, output, binary concept learning, error - correct output code, solving multiclass, concept learning algorithm",340
8,"cut, introduce framework, model, integrate, represent long - term context, make difficult, hide markov model, long - term context information, transition probability, propagating credit information",341
9,"construct user interface, interactive note - take system, allow user, pattern construct, distinctive feature, construct user, support goal, describe interactive, interface, goal allow",158
10,"user interface, domain, text, incomplete information, independent, domain independent approach, specification exist plan, synthesizing customized, intelligence fall, domain dependent",183
11,"information, system, computationally simplify activity, invariant maintain, maintain agent, activity, simplify activity, convention invariant, extend include, include convention",292
12,"knowledge representation system, decidable reasoning, representation, tkrss, knowledge basis, terminological knowledge representation, representation system terminological, knowledge, representation system, knowledge representation",557
13,"language, induction, probabilistic reasoning, present paper, alignment, compression, compression multiple, unification search, introduce idea, introduction overview",200
14,"organize action, autonomous agent, agent control, present computing, agent action, program support parameter, dynamic environment, agent dynamic, formalism present, teleo - reactive program",104
15,"past tense, cognitive modeling, symbolic pattern associator, seemingly minor aspect, tense English, landmark task, generate heat debate, seemingly minor, English verb, language acquisition",380
