source_idx,source_title,similar_title,weight
0,Dynamic Backtracking,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search
  Difficulty",2
3,The Difficulties of Learning Logic Programs with Cut,On Planning while Learning,2
3,The Difficulties of Learning Logic Programs with Cut,Pac-Learning Recursive Logic Programs: Efficient Algorithms,2
3,The Difficulties of Learning Logic Programs with Cut,"Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",2
3,The Difficulties of Learning Logic Programs with Cut,Practical Methods for Proving Termination of General Logic Programs,2
3,The Difficulties of Learning Logic Programs with Cut,"Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure",2
5,Decidable Reasoning in Terminological Knowledge Representation Systems,"A Semantics and Complete Algorithm for Subsumption in the CLASSIC
  Description Logic",3
5,Decidable Reasoning in Terminological Knowledge Representation Systems,Ultimate approximations in nonmonotonic knowledge representation systems,3
5,Decidable Reasoning in Terminological Knowledge Representation Systems,Knowledge Representation,3
5,Decidable Reasoning in Terminological Knowledge Representation Systems,SLDNFA-system,2
5,Decidable Reasoning in Terminological Knowledge Representation Systems,Reasoning about Evolving Nonmonotonic Knowledge Bases,2
6,Teleo-Reactive Programs for Agent Control,Probabilistic Agent Programs,2
7,"Learning the Past Tense of English Verbs: The Symbolic Pattern
  Associator vs. Connectionist Models","Induction of First-Order Decision Lists: Results on Learning the Past
  Tense of English Verbs",2
9,Bias-Driven Revision of Logical Domain Theories,"Rerepresenting and Restructuring Domain Theories: A Constructive
  Induction Approach",2
9,Bias-Driven Revision of Logical Domain Theories,Mechanisms for Automated Negotiation in State Oriented Domains,2
9,Bias-Driven Revision of Logical Domain Theories,Tractability of Theory Patching,2
10,"Exploring the Decision Forest: An Empirical Investigation of Occam's
  Razor in Decision Tree Induction",A System for Induction of Oblique Decision Trees,3
10,"Exploring the Decision Forest: An Empirical Investigation of Occam's
  Razor in Decision Tree Induction","Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic
  Decision Tree Induction Algorithm",3
10,"Exploring the Decision Forest: An Empirical Investigation of Occam's
  Razor in Decision Tree Induction",Further Experimental Evidence against the Utility of Occam's Razor,3
10,"Exploring the Decision Forest: An Empirical Investigation of Occam's
  Razor in Decision Tree Induction",Traffic Accident Analysis Using Decision Trees and Neural Networks,2
11,"A Semantics and Complete Algorithm for Subsumption in the CLASSIC
  Description Logic",Decidable Reasoning in Terminological Knowledge Representation Systems,3
11,"A Semantics and Complete Algorithm for Subsumption in the CLASSIC
  Description Logic",Ultimate approximations in nonmonotonic knowledge representation systems,3
12,Applying GSAT to Non-Clausal Formulas,Why did the accident happen? A norm-based reasoning approach,2
13,Random Worlds and Maximum Entropy,From Statistical Knowledge Bases to Degrees of Belief,4
13,Random Worlds and Maximum Entropy,A Consistency-Based Model for Belief Change: Preliminary Report,2
14,"Pattern Matching and Discourse Processing in Information Extraction from
  Japanese Text",Wrap-Up: a Trainable Discourse Module for Information Extraction,2
15,A System for Induction of Oblique Decision Trees,"Exploring the Decision Forest: An Empirical Investigation of Occam's
  Razor in Decision Tree Induction",3
15,A System for Induction of Oblique Decision Trees,Further Experimental Evidence against the Utility of Occam's Razor,2
15,A System for Induction of Oblique Decision Trees,Traffic Accident Analysis Using Decision Trees and Neural Networks,2
15,A System for Induction of Oblique Decision Trees,"Multiagent Approach for the Representation of Information in a Decision
  Support System",2
16,On Planning while Learning,The Difficulties of Learning Logic Programs with Cut,2
16,On Planning while Learning,Flexibly Instructable Agents,2
16,On Planning while Learning,Reinforcement Learning: A Survey,2
17,Wrap-Up: a Trainable Discourse Module for Information Extraction,"Pattern Matching and Discourse Processing in Information Extraction from
  Japanese Text",2
18,Operations for Learning with Graphical Models,Integrating Defeasible Argumentation and Machine Learning Techniques,2
18,Operations for Learning with Graphical Models,Is Neural Network a Reliable Forecaster on Earth? A MARS Query!,2
18,Operations for Learning with Graphical Models,"EvoNF: A Framework for Optimization of Fuzzy Inference Systems Using
  Neural Network Learning and Evolutionary Computation",2
18,Operations for Learning with Graphical Models,"Clustering Mixed Numeric and Categorical Data: A Cluster Ensemble
  Approach",2
18,Operations for Learning with Graphical Models,K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,2
20,Solving Multiclass Learning Problems via Error-Correcting Output Codes,Learning First-Order Definitions of Functions,2
21,A Domain-Independent Algorithm for Plan Adaptation,On-the-fly Macros,2
22,"Truncating Temporal Differences: On the Efficient Implementation of
  TD(lambda) for Reinforcement Learning",Reinforcement Learning: A Survey,2
22,"Truncating Temporal Differences: On the Efficient Implementation of
  TD(lambda) for Reinforcement Learning",Searching for Plannable Domains can Speed up Reinforcement Learning,2
23,"Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic
  Decision Tree Induction Algorithm","Exploring the Decision Forest: An Empirical Investigation of Occam's
  Razor in Decision Tree Induction",3
23,"Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic
  Decision Tree Induction Algorithm",Anisotropic selection in cellular genetic algorithms,3
23,"Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic
  Decision Tree Induction Algorithm","On the Influence of Selection Operators on Performances in Cellular
  Genetic Algorithms",2
23,"Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic
  Decision Tree Induction Algorithm",Genetic Algorithms for multiple objective vehicle routing,2
23,"Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic
  Decision Tree Induction Algorithm",On Classification from Outlier View,2
24,"Rerepresenting and Restructuring Domain Theories: A Constructive
  Induction Approach",Bias-Driven Revision of Logical Domain Theories,2
25,Using Pivot Consistency to Decompose and Solve Functional CSPs,MUSE CSP: An Extension to the Constraint Satisfaction Problem,4
25,Using Pivot Consistency to Decompose and Solve Functional CSPs,Breaking Value Symmetry,4
